"繰越ID","経理区分","年度","科目ID","前期繰越額","貸借区分"
7061,2,,191,\0,"借+"
7062,3,,191,\0,"借+"
7063,0,,192,\0,"借+"
7064,1,,192,\0,"借+"
7065,2,,192,\0,"借+"
7066,3,,192,\0,"借+"
7067,0,,193,\0,"借+"
7068,1,,193,\0,"借+"
7069,2,,193,\0,"借+"
7070,3,,193,\0,"借+"
7071,0,,194,\0,"借+"
7072,1,,194,\0,"借+"
7073,2,,194,\0,"借+"
7074,3,,194,\0,"借+"
7075,0,,195,\0,"借+"
7076,1,,195,\0,"借+"
7077,2,,195,\0,"借+"
7078,3,,195,\0,"借+"
7079,0,,196,\0,"借+"
7080,1,,196,\0,"借+"
7081,2,,196,\0,"借+"
7082,3,,196,\0,"借+"
7083,0,,197,\0,"借+"
7084,1,,197,\0,"借+"
7085,2,,197,\0,"借+"
7086,3,,197,\0,"借+"
7087,0,,198,\0,"貸+"
7088,1,,198,\38352847,"貸+"
7089,2,,198,\0,"貸+"
7090,3,,198,\62043108,"貸+"
7091,0,,199,\0,"借+"
7092,1,,199,\38352847,"借+"
7093,2,,199,\0,"借+"
7094,3,,199,\62043108,"借+"
7095,0,,200,\0,"借+"
7096,1,,200,\0,"借+"
7097,2,,200,\0,"借+"
7098,3,,200,\0,"借+"
7099,0,,201,\0,"借+"
7100,1,,201,\0,"借+"
7101,2,,201,\0,"借+"
7102,3,,201,\0,"借+"
7103,0,,202,\0,"借+"
7104,1,,202,\0,"借+"
7105,2,,202,\0,"借+"
7106,3,,202,\0,"借+"
7107,0,,203,\0,"借+"
7108,1,,203,\0,"借+"
7109,2,,203,\0,"借+"
7110,3,,203,\0,"借+"
7111,0,,204,\0,"借+"
7112,1,,204,\2347440,"借+"
7113,2,,204,\0,"借+"
7114,3,,204,\2425980,"借+"
7115,0,,205,\0,"借+"
7116,1,,205,\0,"借+"
7117,2,,205,\0,"借+"
7118,3,,205,\0,"借+"
7119,0,,206,\0,"借+"
7120,1,,206,\0,"借+"
7121,2,,206,\0,"借+"
7122,3,,206,\0,"借+"
7123,0,,207,\0,"借+"
7124,1,,207,\0,"借+"
7125,2,,207,\0,"借+"
7126,3,,207,\0,"借+"
7127,0,,208,\0,"借+"
7128,1,,208,\0,"借+"
7129,2,,208,\0,"借+"
7130,3,,208,\0,"借+"
7131,0,,209,\0,"借+"
7132,1,,209,\0,"借+"
7133,2,,209,\0,"借+"
7134,3,,209,\0,"借+"
7135,0,,210,\0,"借+"
7136,1,,210,\0,"借+"
7137,2,,210,\0,"借+"
7138,3,,210,\0,"借+"
7139,0,,211,\0,"借+"
7140,1,,211,\0,"借+"
7141,2,,211,\0,"借+"
7142,3,,211,\0,"借+"
7143,0,,212,\0,"借+"
7144,1,,212,\0,"借+"
7145,2,,212,\0,"借+"
7146,3,,212,\0,"借+"
7147,0,,213,\0,"借+"
7148,1,,213,\0,"借+"
7149,2,,213,\0,"借+"
7150,3,,213,\0,"借+"
